px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.87744	-13.0752	-2.46172	0.705271	-0.980633	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	4.85143
8.75272	-13.1442	-2.45605	0.636041	-0.994808	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0.955227
8.6	-13.1957	-2.47948	0.518618	-1.08493	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	5.9079
8.46609	-13.2419	-2.48655	0.446892	-1.0999	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	1.01832
8.2754	-13.2667	-2.54244	0.299514	-1.21591	8.22926	-13.1698	8.2	-13.15	-2.72741	0	10.0874
8.1233	-13.2811	-2.53802	0.214782	-1.23219	8.03583	-13.1513	8.05	-13.15	-2.72742	0	1.28524
7.95899	-13.286	-2.56749	0.112151	-1.2764	7.82914	-13.0525	7.9	-13.15	-2.72986	0	2.0782
7.81117	-13.276	-2.55899	0.0281979	-1.28953	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0.762173
7.72712	-13.3023	-2.4705	0.0216739	-1.20912	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	6.76352
7.57563	-13.2966	-2.50329	-0.0488413	-1.21463	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0.984123
7.43137	-13.2767	-2.50805	-0.122549	-1.22028	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.855841
7.27015	-13.2562	-2.54267	-0.192901	-1.21978	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.675391
7.11441	-13.1942	-2.61832	-0.29612	-1.27459	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	4.59816
6.96376	-13.1562	-2.65678	-0.358323	-1.26946	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.724103
6.83058	-13.1083	-2.64968	-0.421086	-1.26093	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.197961
6.67109	-13.0542	-2.69052	-0.481794	-1.24939	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.732582
6.57311	-13.0228	-2.55331	-0.50627	-1.18422	6.40137	-13.0799	6.4	-13.05	-2.72678	0	9.59963
6.40908	-12.9785	-2.60897	-0.545703	-1.15625	6.26174	-13.0534	6.25	-13.05	-2.72678	0	1.59158
6.29525	-12.9208	-2.55853	-0.58996	-1.12894	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	1.7575
6.12453	-12.8718	-2.62299	-0.617067	-1.09243	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	2.31988
5.9905	-12.7612	-2.75101	-0.697689	-1.13368	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	6.85559
5.83252	-12.6948	-2.80957	-0.722105	-1.10019	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	2.0316
5.73604	-12.6265	-2.68104	-0.753039	-1.05443	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	8.54172
5.57991	-12.5579	-2.72225	-0.771671	-1.01593	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	1.75493
5.46162	-12.4413	-2.7713	-0.830861	-1.02335	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	0.952718
5.29838	-12.3664	-2.81478	-0.838874	-0.976642	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	2.37006
5.19823	-12.2692	-2.76758	-0.878207	-0.958009	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	1.26013
5.0551	-12.1791	-2.79623	-0.893863	-0.922471	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	1.28617
